post_title,post_content,direccion,coordenada,tipoligia,agua,luz,cobertura,estado_conservacion,propiedad,ID,Excerpt,Image URL,Image Filename,Image Path,Image ID,Image Title,Image Caption,Image Description,Image Alt Text,Image Featured
Antonaga textile workshop,Industrial building with textile machinery in operation.,,,,,,,,"private, prior contact is required for access.",3773,Briviesca,https://burgosfilmcommission.org/wp-content/uploads/2021/04/e4bcecff-a998-433d-b3f4-8e4cc5246e00.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Antonaga6.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Antonaga7.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Antonaga8.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Antonaga9.jpg,e4bcecff-a998-433d-b3f4-8e4cc5246e00.jpg|Antonaga6.jpg|Antonaga7.jpg|Antonaga8.jpg|Antonaga9.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/e4bcecff-a998-433d-b3f4-8e4cc5246e00.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Antonaga6.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Antonaga7.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Antonaga8.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Antonaga9.jpg,3443|3435|3437|3439|3441,e4bcecff-a998-433d-b3f4-8e4cc5246e00|Antonaga6|Antonaga7|Antonaga8|Antonaga9,||||,||||,Textil Antonaga|Textil Antonaga|Textil Antonaga|Textil Antonaga|Textil Antonaga,https://burgosfilmcommission.org/wp-content/uploads/2021/04/e4bcecff-a998-433d-b3f4-8e4cc5246e00.jpg
Cuyacabras necropolis,Medieval site with more than 200 anthropomorphic tombs excavated in the sandstone rock.,,,,,,,,,3774,Quintanar de la Sierra,https://burgosfilmcommission.org/wp-content/uploads/2021/04/20200812_185224.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/20200812_184521.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/20200812_184746.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/20200812_184901.jpg,20200812_185224.jpg|20200812_184521.jpg|20200812_184746.jpg|20200812_184901.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/20200812_185224.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/20200812_184521.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/20200812_184746.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/20200812_184901.jpg,3453|3447|3449|3451,20200812_185224|20200812_184521|20200812_184746|20200812_184901,|||,|||,Necrópolis|Necrópolis|Necrópolis|Necrópolis,https://burgosfilmcommission.org/wp-content/uploads/2021/04/20200812_185224.jpg
Coto of Valverde,"Livestock, agricultural and hunting farm with thousands of hectares of cereal fields, scrubland, oak and holm oak forests. Located two kilometers from Arandilla, in the border area between the Ribera del Duero and the Sierra, where landscapes of both types converge.",,,,,,,,"private, prior contact is required for access.",3776,Valverde - Arandilla,https://burgosfilmcommission.org/wp-content/uploads/2021/04/CotoValverde5.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/IMG_6679w.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/CotoValverde1.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/CotoValverde2.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/CotoValverde3.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/CotoValverde4.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/CotoValverde6.jpg,CotoValverde5.jpg|IMG_6679w.jpg|CotoValverde1.jpg|CotoValverde2.jpg|CotoValverde3.jpg|CotoValverde4.jpg|CotoValverde6.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/CotoValverde5.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/IMG_6679w.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/CotoValverde1.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/CotoValverde2.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/CotoValverde3.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/CotoValverde4.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/CotoValverde6.jpg,3426|3416|3418|3420|3422|3424|3428,CotoValverde5|IMG_6679w|CotoValverde1|CotoValverde2|CotoValverde3|CotoValverde4|CotoValverde6,||||||,||||||,Coto Valverde|Coto Valverde|Coto Valverde|Coto Valverde|Coto Valverde|Coto Valverde|Coto Valverde,https://burgosfilmcommission.org/wp-content/uploads/2021/04/CotoValverde5.jpg
Valdelateja spa,"Old spa on the left bank of the Rudrón river, on the outskirts of Valdelateja.",,,,,,,,"private, prior contact is required for access.",3777,Valdelateja,https://burgosfilmcommission.org/wp-content/uploads/2021/11/balneario4.jpg,balneario4.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/11/balneario4.jpg,3404,balneario4,,,Balneario,https://burgosfilmcommission.org/wp-content/uploads/2021/11/balneario4.jpg
1980s house,Two-story building with the typical decoration of the 80's.,,,,,,,,,3778,Hontoria del Pinar,https://burgosfilmcommission.org/wp-content/uploads/2021/10/moda1.jpg,moda1.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/10/moda1.jpg,3371,moda1,,,Miraflores,https://burgosfilmcommission.org/wp-content/uploads/2021/10/moda1.jpg
Former psychiatric hospital,Former Jesuit school converted into a psychiatric hospital until the end of the last century. Currently in disuse.,,,,,,,,,3781,Oña,https://burgosfilmcommission.org/wp-content/uploads/2021/04/ona12.jpg,ona12.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/ona12.jpg,3066,Monasterio Oña,Monasterio Oña,Monasterio Oña,Monasterio Oña,https://burgosfilmcommission.org/wp-content/uploads/2021/04/ona12.jpg
Villamorón church,XIII Century Gothic fortified temple.,,,,,,,,,3783,Villamorón,https://burgosfilmcommission.org/wp-content/uploads/2021/04/2.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/1.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/7.jpg,2.jpg|1.jpg|7.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/2.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/1.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/7.jpg,3385|3381|3383,2|1|7,||,||,Iglesia Villamorón|Iglesia Villamorón|Iglesia Villamorón,https://burgosfilmcommission.org/wp-content/uploads/2021/04/2.jpg
Esperanza mining,Subway galleries with mining elements.,,,,,,,,,3785,Olmos de Atapuerca,https://burgosfilmcommission.org/wp-content/uploads/2021/04/MG_7079-1-2.jpg,MG_7079-1-2.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/MG_7079-1-2.jpg,1409,Mina Olmos de Atapuerca,Mina Olmos de Atapuerca,Mina Olmos de Atapuerca,Mina Olmos de Atapuerca,https://burgosfilmcommission.org/wp-content/uploads/2021/04/MG_7079-1-2.jpg
Rabanera station,"Old station of Rabanera del Pinar, belonging to the old line of FFCC Santander - Mediterráneo, now in disuse.
It highlights the fact of keeping the train tracks, the water tank and the faucet.",,,,,,,,,3786,Rabanera del Pinar,https://burgosfilmcommission.org/wp-content/uploads/2021/11/EstacionRabanera2.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/11/EstacionRabanera1.jpg,EstacionRabanera2.jpg|EstacionRabanera1.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/11/EstacionRabanera2.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/11/EstacionRabanera1.jpg,9098|9096,EstacionRabanera2|EstacionRabanera1,|,|,|,https://burgosfilmcommission.org/wp-content/uploads/2021/11/EstacionRabanera2.jpg
Escuela Superior de Arte y Diseño,"Centro educativo público en el que se imparten estudios de Artes Plásticas y Diseño. Se encuentra en la zona universitaria de Burgos, con todo tipo de servicios a disposición. El edificio presenta instalaciones modernas y en perfecto estado por el uso actual para la docencia.","C. Sahagún, 2, 09001 Burgos.","42° 20' 29"" N/ 3° 43' 59"" W",edificación civil.,sí.,sí.,sí.,muy bueno.,"público, es necesario contacto previo para el acceso.",3951,Burgos,https://burgosfilmcommission.org/wp-content/uploads/2021/02/escuela-artes-1.jpg,escuela-artes-1.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/02/escuela-artes-1.jpg,508,Escuela de Artes de Burgos,,,,https://burgosfilmcommission.org/wp-content/uploads/2021/02/escuela-artes-1.jpg
Escuela Superior de Arte y Diseño,"Public educational centre where Plastic Arts and Design studies are taught. It is located in the university area of Burgos, with all kinds of services available. The building has modern facilities and is in perfect condition due to its current use for teaching.",,,,,,,,,3959,Burgos,https://burgosfilmcommission.org/wp-content/uploads/2021/02/escuela-artes-1.jpg,escuela-artes-1.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/02/escuela-artes-1.jpg,509,escuela-artes-,,,,https://burgosfilmcommission.org/wp-content/uploads/2021/02/escuela-artes-1.jpg
Mesón de la Villa,"Antigüo salón de banquetes. Cuenta con amplios comedores, cocina, jardines y diversos espacios con decoración de estilo clásico castellano.","Carretera nacional N-1, km 165.",Coordenadas: 41º 43´ 10´´ N – 3º 41´ 21´´W,edificación civil.,sí.,sí.,sí.,bueno.,"gestión privada, es necesario contacto previo para el acceso.",4015,Aranda de Duero,https://burgosfilmcommission.org/wp-content/uploads/2021/11/MesonVillaAranda-8.jpg,MesonVillaAranda-8.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/11/MesonVillaAranda-8.jpg,4041,Meson Villa Aranda,,,Meson Villa Aranda,https://burgosfilmcommission.org/wp-content/uploads/2021/11/MesonVillaAranda-8.jpg
Mesón de la Villa,"Former banquet hall. It has large dining rooms, kitchen, gardens and various spaces decorated in classic Castilian style.",,,,,,,,,4016,Aranda de Duero,https://burgosfilmcommission.org/wp-content/uploads/2021/11/MesonVillaAranda-8.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/mesondevilla1.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/mesondevilla2.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/mesondevilla3.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/mesondevilla4.jpg,MesonVillaAranda-8.jpg|mesondevilla1.jpg|mesondevilla2.jpg|mesondevilla3.jpg|mesondevilla4.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/11/MesonVillaAranda-8.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/mesondevilla1.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/mesondevilla2.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/mesondevilla3.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/mesondevilla4.jpg,4042|4018|4020|4022|4024,MesonVillaAranda (8)|mesondevilla1|mesondevilla2|mesondevilla3|mesondevilla4,||||,||||,Meson Villa Aranda||||,https://burgosfilmcommission.org/wp-content/uploads/2021/11/MesonVillaAranda-8.jpg
Posada Prado Rey,Antigüo pabellón de caza real reconvertido a hospedería. Cuenta con piscina y zona de jardines.,"Carretera comarcal CL-619, km 63, La Ventosilla.",Coordenadas: 41º 42´ 58´´ N – 3º 49´ 16´´W,edificación civil.,sí.,sí.,sí.,bueno.,"gestión privada, es necesario contacto previo para el acceso.",4045,La Ventosilla,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Ventosilla3.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Ventosilla1.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Ventosilla2.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Ventosilla4.jpg,Ventosilla3.jpg|Ventosilla1.jpg|Ventosilla2.jpg|Ventosilla4.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Ventosilla3.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Ventosilla1.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Ventosilla2.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Ventosilla4.jpg,4052|4048|4050|4054,Finca Ventosilla|Finca Ventosilla|Finca Ventosilla|Ventosilla,|||,|||,Finca Ventosilla|Finca Ventosilla|Finca Ventosilla|,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Ventosilla3.jpg
